20
Harry Potter and the Deathly Hallows,J.K.,Rowling,2007,4.62
The Name of the Wind,Patrick,Rothfuss,2007,4.55
The Wise Man's Fear,Patrick,Rothfuss,2011,4.58
Colour of Magic,Terry,Pratchett,1983,3.98
Wyrd Sisters,Terry,Pratchett,1988,4.12
Moby Dick,Herman,Melville,1851,3.48
Neuromancer,William,Gibson,1984,3.88
Stranger in a Strange Land,Robert,Heinlein,1961,3.91
Have Space Suit-Will Travel,Robert,Heinlein,1958,3.89
The Clan of the Cave Bear,Jean,Auel,1980,4.02
Dianetics,L. Ron,Hubbard,1950,2.33
Dune,Frank,Herbert,1965,4.20
Dune Messiah,Frank,Herbert,1969,3.86
Children of Dune,Frank,Herbert,1976,3.91
God Emperor of Dune,Frank,Herbert,1981,3.82
Heretics of Dune,Frank,Herbert,1984,3.84
Chapterhouse: Dune,Frank,Herbert,1985,3.89
Mort,Terry,Pratchett,1987,4.22
Raising Steam,Terry,Pratchett,2013,3.94
A Game of Thrones,George,Martin,1996,4.45
