Book Id,Title,Last,First,ISBN13,Average Rating,Publisher,Original Publication Year,Date Read
13651,The Dispossessed: An Ambiguous Utopia,Ursula K. Le,Guin,None,4.25,Harper Voyager,1974,NA
17674991,Paddle Your Own Canoe: One Man's Fundamentals for Delicious Living,Nick,Offerman,9780525954217,3.71,Dutton,2013,11/10/24
38820047,Killing Commendatore,Haruki,Murakami,9780525520047,3.91,Knopf,2017,10/28/24
16690,The Moon Is a Harsh Mistress,Robert A.,Heinlein,9780340837948,4.15,Hodder & Stoughton,1966,10/26/24
47520,Castle in the Air (Howl's Moving Castle; #2),Diana Wynne,Jones,9780064473453,3.87,Greenwillow Books,1990,NA
179639,The Road to Oz (Oz; #5),L. Frank,Baum,9781587260377,3.74,None,1909,10/21/24
116597,Dorothy and the Wizard in Oz (Oz; #4),L. Frank,Baum,9781421976952,3.74,Indypublish.Com,1908,10/2/24
12009,The Algebraist,Iain M.,Banks,9781597800440,4.03,Night Shade Books,2004,9/26/24
40395,A Princess of Mars (Barsoom; #1),Edgar Rice,Burroughs,9780143104889,3.81,Penguin Books,1912,9/26/24
60177,Ozma of Oz (Oz; #3),L. Frank,Baum,9780543895141,3.96,Reilly & Britton,1907,9/20/24
46787,Uncle Tom's Cabin,Harriet Beecher,Stowe,None,3.91,Wordsworth Classics,1852,9/20/24
179565,The Marvelous Land of Oz (Oz; #2),L. Frank,Baum,9780140350418,3.8,Puffin Classics,1904,9/3/24
685,The Natural,Bernard,Malamud,9780374502003,3.62,Farrar Straus and Giroux,1952,8/19/24
236093,The Wonderful Wizard of Oz (Oz; #1),L. Frank,Baum,9780140621679,4,Penguin,1900,8/16/24
11359,Tar Baby,Toni,Morrison,9781400033447,3.99,Vintage,1981,8/13/24
6758329,The Wanderer,Fritz,Lieber,9781556907401,3.38,Recorded Books,1964,8/9/24
112093865,Sure; I'll Join Your Cult: A Memoir of Mental Illness and the Quest to Belong Anywhere,Maria,Bamford,9781982168568,3.75,Gallery Books,2023,8/4/24
8785374,Snuff (Discworld; #39; City Watch; #8),Terry,Pratchett,None,4.19,Doubleday UK,2011,
62530,Thud! (Discworld; #34; City Watch; #7),Terry,Pratchett,None,4.35,Corgi,2005,
939709,Rogue Moon,Algis,Budrys,9780380389506,3.49,Avon Books (NY),1960,7/29/24
33652490,Men Without Women,Haruki,Murakami,9780385689458,3.75,Bond Street Books,2014,7/28/24
6294,Howl's Moving Castle (Howl's Moving Castle; #1),Diana Wynne,Jones,9780064410342,4.29,Harper Trophy,1986,7/19/24
58677491,The Memory Librarian: And Other Stories of Dirty Computer,Janelle,Monne,9780063070875,3.76,Harper Voyager,2022,7/19/24
8524528,The Conspiracy Against the Human Race,Thomas,Ligotti,9780982429693,4.03,Hippocampus Press,2011,7/17/24
951749,The Dying Earth (The Dying Earth; #1),Jack,Vance,9780671831523,3.89,Pocket Books,1950,7/10/24
263111,Dorsai! (Childe Cycle; #1),Gordon R.,Dickson,9780812503982,4.03,TOR Science Fiction,1960,7/8/24
11298,A Wild Sheep Chase (The Rat; #3),Haruki,Murakami,9780375718946,3.94,Knopf Doubleday Publishing Group,1982,7/8/24
